arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 20:46:02,49,18/02/2020 20:46:02,49,18/02/2020 20:46:00,18/02/2020 20:46:00,St Pappin's Rd,St Pappin's Rd,Blackthorn Road,Blackthorn Road,Inbound,bac,1,,no,11,18/02/2020 19:47:34,true,10
18/02/2020 20:47:36,51,18/02/2020 20:47:36,51,18/02/2020 20:48:00,18/02/2020 20:48:00,Shanard Road, ,Park Avenue,Park Avenue,Inbound,bac,1,,no,1,18/02/2020 19:49:13,true,10
,,,,,,,,,,,,,,,,,,
18/02/2020 19:56:48,Due,18/02/2020 19:56:48,Due,18/02/2020 19:43:00,18/02/2020 19:43:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:55:49,true,11
18/02/2020 19:59:58,3,18/02/2020 19:59:58,3,18/02/2020 19:55:00,18/02/2020 19:55:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:52:31,true,11
18/02/2020 20:01:59,5,18/02/2020 20:01:59,5,18/02/2020 19:58:00,18/02/2020 19:58:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:49:12,true,11
18/02/2020 20:04:07,7,18/02/2020 20:04:07,7,18/02/2020 20:04:00,18/02/2020 20:04:00,Tyrrelstown,Baile an Tirialaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,40D,18/02/2020 19:04:41,true,11
18/02/2020 20:13:31,17,18/02/2020 20:13:31,17,18/02/2020 20:05:00,18/02/2020 20:05:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:45:55,true,11
18/02/2020 20:15:31,19,18/02/2020 20:15:31,19,18/02/2020 20:18:00,18/02/2020 20:18:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:55:49,true,11
18/02/2020 20:29:01,32,18/02/2020 20:29:01,32,18/02/2020 20:29:00,18/02/2020 20:29:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:50:52,true,11
18/02/2020 20:34:07,37,18/02/2020 20:34:07,37,18/02/2020 20:34:00,18/02/2020 20:34:00,Tyrrelstown,Baile an Tirialaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,40D,18/02/2020 19:34:21,true,11
18/02/2020 20:37:55,41,18/02/2020 20:37:55,41,18/02/2020 20:35:00,18/02/2020 20:35:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:49:12,true,11
18/02/2020 20:49:40,53,18/02/2020 20:49:40,53,18/02/2020 20:50:00,18/02/2020 20:50:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:50:52,true,11
18/02/2020 20:55:27,59,18/02/2020 20:55:27,59,18/02/2020 20:55:00,18/02/2020 20:55:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:55:49,true,11
,,,,,,,,,,,,,,,,,,
